date,week,sunrise_hour,sunrise_min,sunrise_sec,sunset_hour,sunset_min,sunset_sec,season,is_holiday,is_weekend,snow,snowdepth,temp,precip,precipprob,preciptype,windgust,winddir,solarradiation,moonphase,conditions,Offense Count
2011-03-23,Wednesday,7,21,55,19,34,39,Spring,0,0,0.0,0.0,74.2,0.0,0,none,20.8,199.7,267.8,0.63,cloudy,289
2012-05-30,Wednesday,6,21,48,20,16,40,Spring,0,0,0.0,0.0,83.3,0.0,0,none,23.0,188.2,331.3,0.34,cloudy,361
2022-02-12,Saturday,7,3,31,18,8,18,Winter,0,1,0.0,0.0,51.9,0.0,0,none,46.1,358.2,51.8,0.37,cloudy,758
2012-02-21,Tuesday,6,55,55,18,14,46,Winter,0,0,0.0,0.0,65.0,0.0,0,none,18.3,156.7,226.3,0.0,cloudy,283
2014-10-16,Thursday,7,23,47,18,49,46,Autumn,0,0,0.0,0.0,74.0,0.0,0,none,19.5,221.4,,0.77,clear,322
2019-02-23,Saturday,6,53,38,18,16,26,Winter,0,1,0.0,0.0,70.9,0.006,100,rain,24.2,259.5,92.0,0.64,rain,658
2023-04-07,Friday,7,4,1,19,43,42,Spring,0,0,0.0,0.0,57.3,0.605,100,rain,32.6,13.6,12.6,0.55,rain,625
2012-06-02,Saturday,6,21,8,20,18,14,Summer,0,1,0.0,0.0,82.6,0.0,0,none,20.7,200.6,337.0,0.44,clear,363
2016-05-28,Saturday,6,22,21,20,15,36,Spring,0,1,0.0,0.0,78.9,0.0,0,none,19.7,102.8,276.7,0.74,clear,345
2012-12-27,Thursday,7,15,34,17,30,14,Winter,0,0,0.0,0.0,45.8,0.213,100,rain,20.8,82.7,62.6,0.48,rain,310
2017-12-07,Thursday,7,4,6,17,22,3,Winter,0,0,0.0,0.0,42.1,0.308,100,"rain,snow",28.4,358.3,45.0,0.64,snow,325
2011-06-16,Thursday,6,20,41,20,23,41,Summer,0,0,0.0,0.0,85.5,0.0,0,none,29.1,182.6,333.1,0.53,cloudy,373
2022-06-09,Thursday,6,20,28,20,21,19,Summer,0,0,0.0,0.0,85.2,0.0,0,none,25.3,172.0,156.5,0.34,cloudy,759
2018-12-24,Monday,7,14,11,17,28,10,Winter,0,0,0.0,0.0,57.1,0.0,0,none,18.3,57.8,107.5,0.57,cloudy,629
2021-02-01,Monday,7,11,12,17,59,25,Winter,0,0,0.0,0.0,52.7,0.0,0,none,27.7,333.8,35.9,0.64,clear,856
2014-09-24,Wednesday,7,10,52,19,15,35,Autumn,0,0,0.0,0.0,75.4,0.0,0,none,17.2,36.4,,0.0,clear,339
2011-09-03,Saturday,6,59,33,19,41,44,Autumn,0,1,0.0,0.0,82.4,0.003,100,rain,40.5,1.2,283.6,0.2,rain,415
2011-07-25,Monday,6,36,40,20,19,1,Summer,0,0,0.0,0.0,87.9,0.0,0,none,19.5,197.0,153.7,0.84,cloudy,387
2021-11-21,Sunday,6,51,25,17,23,17,Autumn,0,1,0.0,0.0,70.4,0.516,100,rain,34.4,151.3,52.4,0.58,rain,669
2018-03-06,Tuesday,6,41,34,18,24,11,Spring,0,0,0.0,0.0,64.0,0.049,100,rain,24.2,10.6,70.0,0.65,rain,303
2010-12-10,Friday,7,6,4,17,22,33,Winter,0,0,0.0,0.0,62.9,0.0,0,none,25.5,166.4,116.9,0.16,cloudy,428
2023-07-29,Saturday,6,39,8,20,16,33,Summer,0,1,0.0,0.0,86.2,0.0,0,none,23.0,172.1,199.7,0.4,cloudy,693
2018-06-24,Sunday,6,22,20,20,25,34,Summer,0,1,0.0,0.0,85.0,0.0,0,none,25.3,165.6,76.6,0.38,cloudy,725
2011-03-11,Friday,6,36,11,18,27,15,Spring,0,0,0.0,0.0,60.2,0.0,0,none,22.8,145.0,269.8,0.23,clear,373
2015-03-19,Thursday,7,26,41,19,32,14,Spring,0,0,0.0,0.0,71.2,0.023,100,rain,21.9,137.8,197.2,0.98,rain,327
2020-04-11,Saturday,6,58,36,19,46,30,Spring,0,1,0.0,0.0,70.6,0.0,0,none,26.4,114.1,97.0,0.62,cloudy,700
2019-01-26,Saturday,7,14,32,17,53,48,Winter,0,1,0.0,0.0,55.3,0.001,100,rain,13.9,55.5,110.5,0.69,rain,559
2015-09-01,Tuesday,6,58,29,19,44,3,Autumn,0,0,0.0,0.0,76.3,0.023,100,rain,19.7,83.1,123.5,0.6,rain,409
